number,title,tag1,tag2,tag3,tag4
PD0285/GD/2500/109,"Scheme Layout CH 11,300 - CH 12,800 Sheet 9 of 53",HWY GD,Drawing,,
PD0285/GD/2500/110,"Scheme Layout CH 12,800 - CH 13,900 Sheet 10 of 53",HWY GD,Drawing,,
PD0285/GD/2500/111,"Scheme Layout CH 13,900 - CH 15,350 Sheet 11 of 53",HWY GD,Drawing,,
PD0285/GD/2500/112,"Scheme Layout CH 15,350 - CH 16,700 Sheet 12 of 53",HWY GD,Drawing,,
PD0285/GD/2500/113,"Scheme Layout CH 16,700 - CH 17,750 Sheet 13 of 53",HWY GD,Drawing,,
PD0285/GD/2500/114,"Scheme Layout CH 17,750 - CH 19,200 Sheet 14 of 53",HWY GD,Drawing,,
PD0285/GD/2500/115,"Scheme Layout CH 19,200 - CH 20,450 Sheet 15 of 53",HWY GD,Drawing,,
PD0285/GD/2500/116,"Scheme Layout CH 20,450 - CH 21,950 Sheet 16 of 53",HWY GD,Drawing,,
PD0285/GD/2500/117,"Scheme Layout CH 21,950 - CH 23,500 Sheet 17 of 53",HWY GD,Drawing,,
PD0285/GD/2500/118,"Scheme Layout CH 23,500 - CH 25,000 Sheet 18 of 53",HWY GD,Drawing,,
PD0285/GD/2500/119,"Scheme Layout CH 24,500 - CH 26,250 Sheet 19 of 53",HWY GD,Drawing,,
PD0285/GD/2500/120,"Scheme Layout CH 26,250 - CH 27,450 Sheet 20 of 53",HWY GD,Drawing,,
PD0285/GD/2500/121,"Scheme Layout CH 27,450 - CH 28,335.8 Sheet 21 of 53",HWY GD,Drawing,,
PD0285/GD/2500/122,Scheme Layout Widmerpool Junction 1 of 2 Plan & Sections Shet 22 of 53,HWY GD,Drawing,,
PD0285/GD/2500/123,Scheme Layout Widmerpool Junction 2 of 2 Sections Sheet 23 of 53,HWY GD,Drawing,,
PD0285/GD/2500/124,Scheme Layout Roehoe Junction 1 of 2 Plan & Sections Sheet 24 of 53,HWY GD,Drawing
PD0285/GD/2500/125,Scheme Layout Roehoe 2 of 2 Sections Sheet 25 of 53,HWY GD,Drawing
PD0285/GD/2500/126,Scheme Layout Owthorpe Junction 1 of 2 Plan & Sections Sheet 26 of 53,HWY GD,Drawing
PD0285/GD/2500/127,Scheme Layout Owthorpe Junction 2 of 2 Sections Sheet 27 of 53,HWY GD,Drawing
PD0285/GD/2500/128,Scheme Layout Cotgrave Overbridge Plan & Sections Sheet 28 of 53,HWY GD,Drawing
PD0285/GD/2500/129,Scheme Layout Stragglethorpe Junction 1 of 3 Plan Sheet 29 of 53,HWY GD,Drawing
PD0285/GD/2500/130,Scheme Layout Stragglethorpe Junction 2 of 3 Plan Sheet 30 of 53,HWY GD,Drawing
PD0285/GD/2500/131,Scheme Layout Stragglethorpe Junction 3 of 3 Plan Sheet 31 of 53,HWY GD,Drawing
PD0285/GD/2500/132,Scheme Layout Grantham Canal Underbridge Plan & Sections Sheet 32 of 53,HWY GD,Drawing
PD0285/GD/2500/133,Scheme Layout Cropwell Butler Underbridge Plan & Sections Sheet 33 of 53,HWY GD,Drawing
PD0285/GD/2500/134,Scheme Layout Henson Lane Overbridge Plan & Sections Sheet 34 of 53,HWY GD,Drawing
PD0285/GD/2500/135,Scheme Layout Saxondale Junction 1 of 3 Plan Sheet 35 of 53,HWY GD,Drawing
PD0285/GD/2500/136,Scheme Layout Saxondale Junction 2 of 3 Plan Sheet 36 of 53,HWY GD,Drawing
PD0285/GD/2500/137,Scheme Layout Saxondale Junction 3 of 3 Plan Sheet 37 of 53,HWY GD,Drawing
PD0285/GD/2500/138,Scheme Layout Saxondale Bridleway Overbridge Sheet 38 of 53,HWY GD,Drawing
PD0285/GD/2500/139,Scheme Layout Margidunum Junction 1 of 3 Plan Sheet 39 of 53,HWY GD,Drawing
PD0285/GD/2500/140,Scheme Layout Margidunum Junction 2 of 3 Plan Sheet 40 of 53,HWY GD,Drawing
PD0285/GD/2500/141,Scheme Layout Margidunum Junction 3 of 3 Plan Sheet 41 of 53,HWY GD,Drawing
PD0285/GD/2500/142,Scheme Layout Butt Lane Overbridge Plan & Sections Sheet 42 of 53,HWY GD,Drawing
PD0285/GD/2500/143,Scheme Layout Car Colston Overbridge Plan & Sections Sheet 43 of 53,HWY GD,Drawing
PD0285/GD/2500/144,Scheme Layout Red Lodge Junction 1 of 2 Plan & Sections Sheet 44 of 53,HWY GD,Drawing
PD0285/GD/2500/145,Scheme Layout Red Lodge Junction 2 of 2 Plan & Sections Sheet 45 of 53,HWY GD,Drawing
PD0285/GD/2500/146,Scheme Layout Flintham Junction 1 of 2 Plan & Sections Sheet 46 of 53,HWY GD,Drawing
PD0285/GD/2500/147,Scheme Layout Flintham Junction 2 of 2 Plan & Sections Sheet 47 of 53,HWY GD,Drawing
PD0285/GD/2500/148,Scheme Layout Syerston Overbridge Plan & Sections Sheet 48 of 53,HWY GD,Drawing
PD0285/GD/2500/149,Scheme Layout Lodge Lane Junction 1 of 2 Plan & Sections Sheet 49 of 53,HWY GD,Drawing
PD0285/GD/2500/150,Scheme Layout Lodge Lane Junction 2 of 2 Plan & Sections Sheet 50 of 53,HWY GD,Drawing
PD0285/GD/2500/151,Scheme Layout Moor Lane Overbridge Plan & Sections Sheet 51 of 53,HWY GD,Drawing
PD0285/GD/2500/152,Scheme Layout Hawton Lane Overbridge Plan & Sections Sheet 52 of 53,HWY GD,Drawing
PD0285/GD/2500/153,Scheme Layout Farndon Underpass Plan & Sections Sheet 53 of 53,HWY GD,Drawing
PD0285/GD/2000/178,"Typical Cross Sections, Section 3, Ch 28050, 26750, 26000",HWY GD,Drawing
PD0285/GD/2000/179,"Typical Cross Sections, Section 3, Ch 24350, 22700, 22300",HWY GD,Drawing
PD0285/GD/2000/180,"Typical Cross Sections, Section 3, Ch 21900, 21600",HWY GD,Drawing
PD0285/GD/2000/181,"Typical Cross Sections, Section 2, Ch 21230, 20830",HWY GD,Drawing
PD0285/GD/2000/182,"Typical Cross Sections, Section 2, Ch 19900, 18580",HWY GD,Drawing
PD0285/GD/2000/183,"Typical Cross Sections, Section 2, Ch 16550, 14900",HWY GD,Drawing
PD0285/GD/2000/184,"Typical Cross Sections, Section 2, Ch 14560, 13800",HWY GD,Drawing
PD0285/GD/2000/185,"Typical Cross Sections, Section 1, Ch 12890, 11600",HWY GD,Drawing
PD0285/GD/2000/186,"Typical Cross Sections, Section 1, Ch 12000",HWY GD,Drawing
PD0285/GD/2000/187,"Typical Cross Sections, Section 1, Ch 10150, 9500",HWY GD,Drawing
PD0285/GD/2000/188,"Typical Cross Sections, Section 1, Ch 8240",HWY GD,Drawing
PD0285/GD/2000/189,"Typical Cross Sections, Section 1, Ch 7870",HWY GD,Drawing
PD0285/GD/2000/190,"Typical Cross Sections, Section 1, Ch 6700, 6100",HWY GD,Drawing
PD0285/GD/2000/191,"Typical Cross Sections, Section 1, Ch 5680",HWY GD,Drawing
PD0285/GD/2000/192,"Typical Cross Sections, Section 1, Ch 4400, 2300",HWY GD,Drawing
PD0285/GD/2000/193,"Typical Cross Sections, Section 1, Ch 2050, 1500",HWY GD,Drawing
PD0285/GD/000/034,Central Reserve Asphalt Channel Standard Detail,HWY GD,Drawing
PD0285/GD/000/036,Central Reserve 1050 Chamber Standard Detail,HWY GD,Drawing
PD0285/GD/000/037,Central Reserve 600 Chamber Standard Detail,HWY GD,Drawing
PD0285/GD/SK/309,,HWY GD,Drawing
PD0285/GD/SK/310,,HWY GD,Drawing
PD0285/GD/SK/272,Maintenance Access Area Standard Detail,HWG GD,Drawing
PD0285/GD/SK/318,Technology Access Area Standard Detail,HWG GD,Drawing
PD0285/GD/SK/320,Emergency Telephone Detail,HWG GD,Drawing
PD0285/PV/1000/000,Pavement Key Plan,PAV,Drawing
PD0285/PV/1000/001,Pavement Sheet 01,PAV,Drawing
PD0285/PV/1000/002,Pavement Sheet 02,PAV,Drawing
PD0285/PV/1000/003,Pavement Sheet 03,PAV,Drawing
PD0285/PV/1000/004,Pavement Sheet 04,PAV,Drawing
PD0285/PV/1000/005,Pavement Sheet 05,PAV,Drawing
PD0285/PV/1000/006,Pavement Sheet 06,PAV,Drawing
PD0285/PV/1000/007,Pavement Sheet 07,PAV,Drawing
PD0285/PV/1000/008,Pavement Sheet 08,PAV,Drawing
PD0285/PV/1000/009,Pavement Sheet 09,PAV,Drawing
PD0285/PV/1000/010,Pavement Sheet 10,PAV,Drawing
