ID,AB2
420,15/04/2011
421,24/01/2011
422,24/01/2011
423,24/01/2011
424,24/01/2011
425,24/01/2011
426,24/01/2011
427,24/01/2011
428,24/01/2011
429,24/01/2011
430,24/01/2011
431,24/01/2011
432,24/01/2011
433,24/01/2011
434,24/01/2011
435,24/01/2011
436,24/01/2011
437,24/01/2011
710,N/A
711,N/A
712,N/A
713,N/A
714,N/A
715,N/A
716,N/A
717,N/A
718,N/A
719,N/A
720,N/A
721,N/A
722,N/A
723,N/A
724,N/A
725,N/A
726,N/A
727,N/A
728,N/A
729,N/A
730,N/A
731,N/A
732,N/A
733,N/A
734,N/A
735,N/A
736,N/A
737,N/A
738,N/A
739,N/A
740,N/A
741,N/A
742,N/A
743,N/A
907,13/10/2011
930,02/04/2012
984,16/03/2012
985,16/03/2012
986,16/03/2012
987,16/03/2012
988,16/03/2012
989,16/03/2012
990,16/03/2012
991,16/03/2012
992,16/03/2012
993,16/03/2012
994,16/03/2012
995,16/03/2012
996,16/03/2012
997,16/03/2012
998,16/03/2012
999,16/03/2012
1000,16/03/2012
1001,16/03/2012
1002,20/03/2012
1003,20/03/2012
1004,20/03/2012
1005,20/03/2012
1006,20/03/2012
1007,20/03/2012
1008,20/03/2012
1009,20/03/2012
1010,20/03/2012
1011,20/03/2012
1012,20/03/2012
1013,20/03/2012
1014,20/03/2012
1015,22/03/2012
1016,22/03/2012
1017,22/03/2012
1018,22/03/2012
1019,22/03/2012
1020,22/03/2012
1021,22/03/2012
1022,22/03/2012
1023,22/03/2012
1024,22/03/2012
1025,22/03/2012
1026,22/03/2012
1027,22/03/2012
1028,22/03/2012
1029,22/03/2012
1030,22/03/2012
1031,22/03/2012
1032,22/03/2012
1033,22/03/2012
1034,22/03/2012
1035,22/03/2012
1036,22/03/2012
1037,22/03/2012
1038,22/03/2012
1039,22/03/2012
1040,22/03/2012
1041,22/03/2012
1042,22/03/2012
1043,22/03/2012
1044,22/03/2012
1045,22/03/2012
1046,22/03/2012
1047,28/03/2012
1048,29/06/2012
1049,29/06/2012
1050,29/06/2012
1051,29/06/2012
1052,29/06/2012
1053,29/06/2012
1054,29/06/2012
1055,29/06/2012
1056,29/06/2012
1057,29/06/2012
1058,29/06/2012
1059,29/06/2012
1060,29/06/2012
1061,29/06/2012
1062,29/06/2012
1063,29/06/2012
1064,29/06/2012
1065,29/06/2012
1066,29/06/2012
1067,29/06/2012
1068,29/06/2012
1069,29/06/2012
1070,29/06/2012
1071,29/06/2012
1072,29/06/2012
1073,29/06/2012
1074,29/06/2012
1075,29/06/2012
1076,29/06/2012
1077,29/06/2012
1078,29/06/2012
1079,29/06/2012
1080,29/06/2012
1081,29/06/2012
1082,29/06/2012
1083,29/06/2012
1084,29/06/2012
1085,29/06/2012
1086,29/06/2012
1087,29/06/2012
1088,29/06/2012
1089,29/06/2012
1090,29/06/2012
1091,29/06/2012
1092,29/06/2012
1093,29/06/2012
1094,05/04/2012
1095,09/07/2012
1096,09/07/2012
1097,09/07/2012
1098,09/07/2012
1099,09/07/2012
1100,09/07/2012
1101,09/07/2012
1102,09/07/2012
1103,09/07/2012
1104,09/07/2012
1105,09/07/2012
1106,09/07/2012
1107,09/07/2012
1108,09/07/2012
1109,09/07/2012
1110,09/07/2012
1111,09/07/2012
1112,09/07/2012
1113,09/07/2012
1114,09/07/2012
1115,09/07/2012
1116,09/07/2012
1117,09/07/2012
1118,09/07/2012
1119,09/07/2012
1120,09/07/2012
1121,09/07/2012
1122,09/07/2012
1123,09/07/2012
1124,09/07/2012
1125,09/07/2012
1126,09/07/2012
1127,09/07/2012
1443,24/01/2011
1444,24/01/2011
1445,24/01/2011
1446,24/01/2011
1447,24/01/2011
1448,24/01/2011
1449,24/01/2011
1450,24/01/2011
1451,24/01/2011
1452,24/01/2011
1453,24/01/2011
1454,24/01/2011
1455,24/01/2011
1456,24/01/2011
1457,24/01/2011
1458,24/01/2011
1459,24/01/2011
1460,24/01/2011
1461,24/01/2011
1462,24/01/2011
1463,24/01/2011
1464,24/01/2011
1465,24/01/2011
1466,24/01/2011
1467,24/01/2011
1468,24/01/2011
1469,24/01/2011
1470,24/01/2011
1471,24/01/2011
1472,24/01/2011
1473,24/01/2011
1474,24/01/2011
1522,24/01/2011
1523,24/01/2011
1524,24/01/2011
1525,24/01/2011
1526,24/01/2011
1527,24/01/2011
1528,24/01/2011
1529,24/01/2011
1530,24/01/2011
1531,24/01/2011
1532,24/01/2011
1533,24/01/2011
1534,24/01/2011
1535,24/01/2011
1536,24/01/2011
1537,24/01/2011
1538,24/01/2011
1539,24/01/2011
1540,24/01/2011
1541,24/01/2011
1542,24/01/2011
1543,24/01/2011
1544,24/01/2011
1545,24/01/2011
1546,24/01/2011
1547,24/01/2011
1548,24/01/2011
1549,24/01/2011
1550,24/01/2011
1551,24/01/2011
1552,24/01/2011
1553,24/01/2011
1554,24/01/2011
1555,24/01/2011
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
