ID,AB3_Actual
132,11-Jan-11
133,11-Jan-11
134,11-Jan-11
135,11-Jan-11
136,11-Jan-11
137,11-Jan-11
138,11-Jan-11
139,11-Jan-11
140,11-Jan-11
141,11-Jan-11
142,11-Jan-11
143,11-Jan-11
144,11-Jan-11
145,11-Jan-11
203,18-Jan-11
204,18-Jan-11
205,18-Jan-11
206,18-Jan-11
207,18-Jan-11
208,18-Jan-11
209,18-Jan-11
210,18-Jan-11
211,18-Jan-11
212,18-Jan-11
213,18-Jan-11
214,18-Jan-11
215,18-Jan-11
216,18-Jan-11
217,18-Jan-11
218,18-Jan-11
219,18-Jan-11
220,04-Mar-11
221,04-Mar-11
222,04-Mar-11
223,04-Mar-11
224,04-Mar-11
225,04-Mar-11
226,04-Mar-11
227,04-Mar-11
228,04-Mar-11
229,04-Mar-11
230,04-Mar-11
231,04-Mar-11
232,04-Mar-11
233,04-Mar-11
234,04-Mar-11
235,04-Mar-11
251,11-Jan-11
252,11-Jan-11
253,11-Jan-11
254,11-Jan-11
255,11-Jan-11
256,11-Jan-11
257,11-Jan-11
258,11-Jan-11
259,11-Jan-11
260,11-Jan-11
261,11-Jan-11
262,11-Jan-11
263,11-Jan-11
264,11-Jan-11
296,26-Jan-11
297,26-Jan-11
298,26-Jan-11
299,26-Jan-11
300,26-Jan-11
301,26-Jan-11
302,26-Jan-11
303,26-Jan-11
304,26-Jan-11
305,26-Jan-11
306,26-Jan-11
307,26-Jan-11
308,26-Jan-11
309,26-Jan-11
