ID,AB7
41,2011-05-19
42,2011-05-19
43,2011-05-19
44,2011-05-19
45,2011-05-19
46,2011-05-19
47,2011-05-19
48,2011-05-19
49,2011-05-19
50,2011-05-19
51,2011-05-19
52,2011-05-19
53,2011-05-19
54,2011-05-19
55,2011-05-19
56,2011-04-28
57,2011-04-28
58,2011-04-28
59,2011-04-28
60,2011-04-28
61,2011-04-28
62,2011-04-28
63,2011-04-28
64,2011-04-28
65,2011-04-28
66,2011-04-28
67,2011-04-28
68,2011-04-28
69,2011-04-28
70,2011-04-28
71,2011-05-13
72,2011-05-13
73,2011-05-13
74,2011-05-13
75,2011-05-13
76,2011-05-13
77,2011-05-13
78,2011-05-13
79,2011-05-13
80,2011-05-13
81,2011-05-13
82,2011-05-13
83,2011-05-13
84,2011-05-13
85,2011-05-13
86,2011-03-17
87,2011-03-17
88,2011-03-17
89,2011-03-17
90,2011-03-17
91,2011-03-17
92,2011-03-17
93,2011-03-17
94,2011-03-17
95,2011-03-17
96,2011-03-17
97,2011-03-17
98,2011-03-17
99,2011-03-17
100,2011-03-17
101,2011-06-07
102,2011-06-07
103,2011-06-07
104,2011-06-07
105,2011-06-07
106,2011-06-07
107,2011-06-07
108,2011-06-07
109,2011-06-07
110,2011-06-07
111,2011-06-07
112,2011-06-07
113,2011-06-07
114,2011-06-07
115,2011-06-07
116,2011-06-07
117,2011-06-07
118,2011-06-07
119,2011-05-27
120,2011-05-27
121,2011-05-27
122,2011-05-27
123,2011-05-27
124,2011-05-27
125,2011-05-27
126,2011-05-27
127,2011-05-27
128,2011-05-27
129,2011-05-27
130,2011-05-27
131,2011-05-27
132,2011-01-19
133,2011-01-19
134,2011-01-19
135,2011-01-19
136,2011-01-19
137,2011-01-19
138,2011-01-19
139,2011-01-19
140,2011-01-19
141,2011-01-19
142,2011-01-19
143,2011-01-19
144,2011-01-19
145,2011-01-19
146,2011-04-18
147,2011-04-18
148,2011-04-18
149,2011-04-18
150,2011-04-18
151,2011-04-18
152,2011-04-18
153,2011-04-18
154,2011-04-18
155,2011-04-18
156,2011-04-18
157,2011-04-18
158,2011-04-18
159,2011-04-18
160,2011-04-18
161,2011-04-18
162,2011-04-18
163,2011-04-18
164,2011-04-18
165,2011-04-18
166,2011-04-18
167,2011-04-18
168,2011-04-18
169,2011-04-18
170,2011-04-18
171,2011-04-18
172,2011-04-18
173,2011-04-18
174,2011-04-18
175,2011-04-18
176,2011-09-09
177,2011-09-09
178,2011-09-09
179,2011-09-09
180,2011-09-09
181,2011-09-09
182,2011-09-09
183,2011-04-20
184,2011-04-20
185,2011-04-20
186,2011-04-20
187,2011-04-20
188,2011-04-20
189,2011-04-20
190,2011-04-20
191,2011-04-20
192,2011-04-20
193,2011-04-20
194,2011-04-20
195,2011-04-20
196,2011-04-20
197,2011-04-20
198,2011-04-20
199,2011-04-20
200,2011-04-20
201,2011-04-20
202,2011-04-20
203,2011-01-28
204,2011-01-28
205,2011-01-28
206,2011-01-28
207,2011-01-28
208,2011-01-28
209,2011-01-28
210,2011-01-28
211,2011-01-28
212,2011-01-28
213,2011-01-28
214,2011-01-28
215,2011-01-28
216,2011-01-28
217,2011-01-28
218,2011-01-28
219,2011-01-28
220,2011-03-08
221,2011-03-08
222,2011-03-08
223,2011-03-08
224,2011-03-08
225,2011-03-08
226,2011-03-08
227,2011-03-08
228,2011-03-08
229,2011-03-08
230,2011-03-08
231,2011-03-08
232,2011-03-08
233,2011-03-08
234,2011-03-08
235,2011-03-08
236,2011-09-05
237,2011-09-05
238,2011-09-05
239,2011-09-05
240,2011-09-05
241,2011-09-05
242,2011-09-05
243,2011-09-05
244,2011-09-05
245,2011-09-05
246,2011-09-05
247,2011-09-05
248,2011-09-05
249,2011-09-05
250,2011-09-05
251,2011-01-24
252,2011-01-24
253,2011-01-24
254,2011-01-24
255,2011-01-24
256,2011-01-24
257,2011-01-24
258,2011-01-24
259,2011-01-24
260,2011-01-24
261,2011-01-24
262,2011-01-24
263,2011-01-24
264,2011-01-24
265,2011-08-30
266,2011-08-30
267,2011-08-30
268,2011-08-30
269,2011-08-30
270,2011-08-30
271,2011-08-30
272,2011-08-30
273,2011-08-30
274,2011-08-30
275,2011-08-30
276,2011-08-30
277,2011-08-30
278,2011-08-30
279,2011-08-30
280,2011-08-30
281,2011-09-15
282,2011-09-15
283,2011-09-15
284,2011-09-15
285,2011-09-15
286,2011-09-15
287,2011-09-15
288,2011-09-15
289,2011-09-15
290,2011-09-15
291,2011-09-15
292,2011-09-15
293,2011-09-15
294,2011-09-15
295,2011-09-15
296,2011-02-01
297,2011-02-01
298,2011-02-01
299,2011-02-01
300,2011-02-01
301,2011-02-01
302,2011-02-01
303,2011-02-01
304,2011-02-01
305,2011-02-01
306,2011-02-01
307,2011-02-01
308,2011-02-01
309,2011-02-01
310,2011-04-12
311,2011-04-12
312,2011-04-12
313,2011-04-12
314,2011-04-12
315,2011-04-12
316,2011-04-12
317,2011-04-12
318,2011-04-12
319,2011-04-12
320,2011-04-12
321,2011-04-12
322,2011-04-12
323,2011-04-12
324,2011-04-12
325,2011-05-06
326,2011-05-06
327,2011-05-06
328,2011-05-06
329,2011-05-06
330,2011-05-06
331,2011-05-06
332,2011-05-06
333,2011-05-06
334,2011-05-06
335,2011-05-06
336,2011-05-06
337,2011-05-06
338,2011-05-06
339,2011-05-06
340,2011-04-06
341,2011-04-06
342,2011-04-06
343,2011-04-06
344,2011-04-06
345,2011-04-06
346,2011-04-06
347,2011-04-06
348,2011-04-06
349,2011-04-06
350,2011-04-06
351,2011-04-06
352,2011-04-06
353,2011-04-06
354,2011-04-06
355,2011-06-15
356,2011-06-15
357,2011-06-15
358,2011-06-15
359,2011-06-15
360,2011-06-15
361,2011-06-15
362,2011-06-15
363,2011-06-15
364,2011-06-15
365,2011-06-15
366,2011-06-15
367,2011-06-15
368,2011-06-15
369,2011-06-15
370,2011-09-30
371,2011-09-30
372,2011-09-30
373,2011-09-30
374,2011-09-30
379,2011-09-30
380,2011-09-30
381,2011-09-30
382,2011-09-30
383,2011-09-30
384,2011-09-30
385,2011-09-30
386,2011-09-30
387,2011-09-30
388,2011-09-30
389,2011-09-30
390,2011-09-30
391,2011-09-30
392,2011-09-30
393,2011-09-30
394,2011-09-30
395,2011-09-30
396,2011-09-30
397,2011-09-30
398,2011-09-30
399,2011-09-30
400,2011-09-30
401,2011-09-30
402,2011-09-30
403,2011-09-30
404,2011-09-30
405,2011-09-30
406,2011-09-30
407,2011-09-30
408,2011-09-30
409,2011-09-30
410,2011-09-30
411,2011-09-30
412,2011-09-30
413,2011-09-30
414,2011-09-30
415,2011-09-30
416,2011-09-30
417,2011-09-30
418,2011-09-30
419,2011-09-30
420,2011-11-04
421,2011-11-04
422,2011-11-04
423,2011-11-04
424,2011-11-04
425,2011-11-04
426,2011-11-04
427,2011-11-04
428,2011-11-04
429,2011-11-04
430,2011-11-04
431,2011-11-04
432,2011-11-04
433,2011-11-04
434,2011-11-04
435,2011-11-04
436,2011-11-04
437,2011-11-04
438,2011-11-02
439,2011-11-02
440,2011-11-02
441,2011-11-02
442,2011-11-02
443,2011-11-02
444,2011-11-02
445,2011-11-02
446,2011-11-02
447,2011-11-02
448,2011-11-02
449,2011-11-02
450,2011-11-02
451,2011-10-13
452,2011-10-13
453,2011-10-13
454,2011-10-13
455,2011-10-13
456,2011-10-13
457,2011-10-13
458,2011-10-13
459,2011-10-13
460,2011-10-13
461,2011-10-13
462,2011-10-13
463,2011-10-13
464,2011-10-13
465,2011-10-13
466,2011-10-13
467,2011-10-13
468,2011-10-13
469,2011-10-13
470,2011-10-13
471,2011-10-13
472,2011-10-13
473,2011-10-13
474,2011-10-13
475,2011-10-13
476,2011-10-13
477,2011-10-13
478,2011-10-13
479,2011-10-13
480,2011-10-13
481,2011-10-13
482,2011-10-13
483,2011-10-21
484,2011-10-21
485,2011-10-21
486,2011-10-21
487,2011-10-21
488,2011-10-21
489,2011-10-21
490,2011-10-21
491,2011-10-21
492,2011-10-21
493,2011-10-21
494,2011-10-21
495,2011-10-21
496,2011-10-21
497,2011-10-21
498,2011-10-21
499,2011-10-21
500,2011-10-21
501,2011-10-21
502,2011-10-21
503,2011-10-21
504,2011-10-21
505,2011-10-21
506,2011-10-21
507,2011-10-21
508,2011-10-21
509,2011-10-21
510,2011-10-21
511,2011-10-21
512,2011-10-21
513,2011-10-21
514,2011-10-21
515,2011-10-21
516,2011-10-21
517,2011-10-21
518,2011-10-21
519,2011-10-21
520,2011-10-21
521,2011-10-21
522,2011-10-21
523,2011-10-21
524,2011-10-21
525,2011-10-21
526,2011-10-21
527,2011-10-21
528,2011-10-21
529,2011-10-21
530,2011-10-07
531,2011-10-07
532,2011-10-07
533,2011-10-07
534,2011-10-07
535,2011-10-07
536,2011-10-07
537,2011-10-07
538,2011-10-07
539,2011-10-07
540,2011-10-07
541,2011-10-07
542,2011-10-07
543,2011-10-07
544,2011-10-07
545,2011-10-07
546,2011-10-07
547,2011-10-07
548,2011-10-07
549,2011-10-07
550,2011-10-07
551,2011-10-07
552,2011-10-07
553,2011-10-07
554,2011-10-07
555,2011-10-07
556,2011-10-07
557,2011-10-07
558,2011-10-07
559,2011-10-07
560,2011-10-07
561,2011-10-07
562,2011-10-07
563,2011-10-07
564,2011-11-14
565,2011-11-14
566,2011-11-14
567,2011-11-14
568,2011-11-14
569,2011-11-14
570,2011-11-14
571,2011-11-14
572,2011-11-14
573,2011-11-14
574,2011-11-14
575,2011-11-14
576,2011-11-14
577,2011-11-14
578,2011-11-14
579,2011-11-14
580,2011-11-14
581,2011-11-14
582,2011-11-14
583,2011-10-25
584,2011-10-25
585,2011-10-25
586,2011-10-25
587,2011-10-25
588,2011-10-25
589,2011-10-25
590,2011-10-25
591,2011-10-25
592,2011-10-25
593,2011-10-25
594,2011-10-25
595,2011-10-25
596,2011-10-31
597,2011-10-31
598,2011-10-31
599,2011-10-31
600,2011-10-31
601,2011-10-31
602,2011-10-31
603,2011-10-31
604,2011-10-31
605,2011-10-31
606,2011-10-31
607,2011-10-31
608,2011-10-31
609,2011-10-31
610,2011-10-31
611,2011-10-31
612,2011-10-31
613,2011-10-31
614,2011-10-31
615,2011-10-31
616,2011-10-31
617,2011-10-31
618,2011-10-31
619,2011-10-31
620,2011-10-31
621,2011-10-31
622,2011-10-31
623,2011-10-31
624,2011-10-31
625,2011-10-31
626,2011-10-31
627,2011-10-31
628,2011-12-22
629,2011-12-22
630,2011-12-22
631,2011-12-22
632,2011-12-22
633,2011-12-22
634,2011-12-22
635,2011-12-22
636,2011-12-22
637,2011-12-22
638,2011-12-22
639,2011-12-22
640,2011-12-22
641,2011-12-22
642,2011-12-22
643,2011-12-22
644,2011-12-22
645,2011-12-22
646,2011-12-22
647,2011-12-22
648,2011-12-22
649,2011-12-22
650,2011-12-22
651,2011-12-22
652,2011-12-22
653,2011-12-22
654,2011-12-22
655,2011-12-22
656,2011-12-22
657,2011-12-22
658,2011-12-22
659,2011-12-22
660,2011-12-22
661,2011-12-22
662,2011-12-22
663,2011-12-22
664,2011-12-22
665,2011-12-22
666,2011-12-22
667,2011-12-22
668,2011-12-22
669,2011-12-22
670,2011-12-22
671,2011-12-22
672,2011-12-22
673,2011-12-22
674,2011-12-22
675,2011-11-10
676,2011-11-10
677,2011-11-10
678,2011-11-10
679,2011-11-10
680,2011-11-10
681,2011-11-10
682,2011-11-10
683,2011-11-10
684,2011-11-10
685,2011-11-10
686,2011-11-10
687,2011-11-10
688,2011-11-10
689,2011-11-10
690,2011-11-10
691,2011-11-10
692,2011-11-10
693,2011-11-10
694,2011-11-10
695,2011-11-10
696,2011-11-10
697,2011-11-10
698,2011-11-10
699,2011-11-10
700,2011-11-10
701,2011-11-10
702,2011-11-10
703,2011-11-10
704,2011-11-10
705,2011-11-10
706,2011-11-10
707,2011-11-10
708,2011-11-10
709,2011-11-10
710,2011-12-14
711,2011-12-14
712,2011-12-14
713,2011-12-12
714,2011-12-12
715,2011-12-06
716,2011-12-06
717,2011-12-06
718,2012-01-17
719,2012-01-17
720,2012-01-17
721,2012-01-17
722,2012-01-17
723,2012-01-17
724,2012-01-17
725,2012-01-17
726,2012-01-17
727,2012-01-17
728,2011-12-08
729,2011-12-08
730,2011-12-08
731,2012-01-17
732,2012-01-17
733,2011-12-14
734,2011-12-08
735,2011-12-02
736,2011-12-02
737,2011-12-02
738,2011-12-12
739,2011-12-01
740,2011-12-02
741,2011-12-02
742,2011-12-01
743,2011-12-02
744,2011-09-07
745,2011-09-08
746,2011-09-27
747,2011-09-09
748,2011-09-13
749,2011-09-14
750,2012-01-06
751,2011-09-15
752,2011-09-16
753,2011-09-19
754,2011-09-20
755,2011-09-21
756,2011-09-22
757,2011-09-23
758,2011-09-26
759,2011-09-12
763,2011-11-16
764,2011-11-16
765,2011-11-16
766,2011-11-16
767,2011-11-16
768,2011-11-16
769,2011-11-16
770,2011-11-16
771,2011-11-16
772,2011-11-16
773,2011-11-17
774,2011-11-17
775,2011-11-21
776,2011-11-21
777,2011-11-21
778,2011-11-21
779,2011-11-23
780,2011-11-23
781,2011-11-23
782,2011-11-23
783,2011-11-23
784,2011-11-23
785,2011-11-23
786,2011-11-23
787,2011-11-23
788,2011-11-23
789,2011-11-23
790,2011-11-25
791,2011-11-25
792,2011-11-25
793,2011-11-25
794,2011-11-25
795,2011-11-25
796,2011-11-25
797,2011-11-25
798,2011-11-25
799,2011-11-25
800,2011-11-25
801,2011-11-25
802,2011-11-25
803,2012-04-24
804,2012-04-24
805,2012-04-24
806,2012-04-24
807,2012-04-24
808,2012-04-24
809,2012-04-24
810,2012-04-24
811,2012-04-24
812,2012-04-24
813,2012-04-24
814,2012-04-24
815,2012-04-24
816,2012-04-24
817,2011-08-09
818,2011-08-09
819,2011-08-09
820,2011-08-09
821,2011-08-09
822,2011-08-09
823,2011-08-09
824,2011-08-09
825,2011-08-09
826,2011-08-09
827,2011-08-09
828,2011-08-09
829,2011-08-09
830,2011-08-09
831,2011-08-09
832,2011-08-09
833,2011-08-09
834,2011-08-09
835,2011-08-09
836,2011-08-09
837,2011-08-09
838,2011-08-09
839,2011-08-09
840,2011-08-09
841,2011-08-09
842,2011-08-09
843,2011-08-09
844,2011-08-09
845,2011-08-09
846,2011-08-09
847,2011-08-09
848,2011-08-09
849,2011-08-09
850,2011-08-09
851,2011-08-09
852,2011-08-09
853,2011-08-09
854,2011-08-09
855,2011-08-09
856,2011-08-09
857,2011-08-09
858,2011-08-09
859,2011-08-09
860,2011-08-09
861,2011-08-09
862,2011-08-09
863,2011-08-09
864,2011-08-09
865,2011-08-09
866,2011-08-09
867,2011-08-09
868,2011-08-09
869,2011-08-09
870,2011-08-09
871,2011-08-09
872,2011-08-09
873,2011-08-09
874,2011-08-09
875,2011-08-09
876,2011-08-09
877,2011-08-09
878,2011-08-09
879,2011-08-09
880,2011-08-09
881,2011-08-09
882,2011-08-09
883,2011-08-09
884,2011-08-09
885,2011-08-09
886,2011-08-09
887,2011-08-09
888,2011-08-09
889,2011-08-09
890,2011-08-09
891,2011-08-09
892,2011-08-09
893,2011-08-09
894,2011-08-09
895,2012-02-06
896,2012-02-06
897,2012-02-06
898,2012-02-06
899,2012-02-06
900,2012-02-06
901,2012-02-06
902,2012-02-06
903,2012-02-06
904,2012-02-08
905,2012-02-08
906,2012-02-08
907,2012-02-14
908,2012-02-14
909,2012-02-14
910,2012-02-14
911,2012-02-14
912,2012-02-14
913,2012-02-14
914,2012-02-14
915,2012-02-14
916,2012-04-24
917,2012-04-24
918,2012-04-24
919,2012-04-24
920,2012-04-24
921,2012-04-24
922,2012-04-24
923,2012-04-24
924,2012-04-24
925,2012-04-24
926,2012-04-24
927,2012-04-24
928,2012-04-24
929,2012-04-24
930,2012-04-24
931,2012-04-30
932,2012-04-30
933,2012-04-30
934,2012-04-30
935,2012-04-30
936,2012-04-30
937,2012-04-30
938,2012-04-30
939,2012-04-30
940,2012-04-30
941,2012-04-30
942,2012-04-30
943,2012-04-30
944,2012-04-30
945,2012-04-30
946,2012-04-30
947,2012-04-30
948,2012-04-30
949,2012-04-30
950,2012-04-30
951,2012-04-30
952,2012-04-30
953,2012-04-30
954,2012-04-30
955,2012-04-30
956,2012-04-30
957,2012-04-30
958,2012-04-30
959,2012-04-30
960,2012-04-30
961,2012-04-30
962,2012-04-30
963,2012-04-30
964,2012-04-30
965,2012-04-30
966,2012-04-24
967,2012-04-24
968,2012-04-24
969,2012-04-24
970,2012-04-24
971,2012-04-24
972,2012-04-24
973,2012-04-24
974,2012-04-24
975,2012-04-24
976,2012-04-24
977,2012-04-24
978,2012-04-24
979,2012-04-24
980,2012-04-24
981,2012-04-24
982,2012-04-24
983,2012-04-24
984,2012-04-03
985,2012-04-03
986,2012-04-03
987,2012-04-03
988,2012-04-03
989,2012-04-03
990,2012-04-03
991,2012-04-03
992,2012-04-03
993,2012-04-03
994,2012-04-03
995,2012-04-03
996,2012-04-03
997,2012-04-03
998,2012-04-03
999,2012-04-03
1000,2012-04-03
1001,2012-04-03
1002,2012-04-05
1003,2012-04-05
1004,2012-04-05
1005,2012-04-05
1006,2012-04-05
1007,2012-04-05
1008,2012-04-05
1009,2012-04-05
1010,2012-04-05
1011,2012-04-05
1012,2012-04-05
1013,2012-04-05
1014,2012-04-05
1015,2012-04-13
1016,2012-04-13
1017,2012-04-13
1018,2012-04-13
1019,2012-04-13
1020,2012-04-13
1021,2012-04-13
1022,2012-04-13
1023,2012-04-13
1024,2012-04-13
1025,2012-04-13
1026,2012-04-13
1027,2012-04-13
1028,2012-04-13
1029,2012-04-13
1030,2012-04-13
1031,2012-04-13
1032,2012-04-13
1033,2012-04-13
1034,2012-04-13
1035,2012-04-13
1036,2012-04-13
1037,2012-04-13
1038,2012-04-13
1039,2012-04-13
1040,2012-04-13
1041,2012-04-13
1042,2012-04-13
1043,2012-04-13
1044,2012-04-13
1045,2012-04-13
1046,2012-04-13
1047,2012-04-23
1048,2012-04-23
1049,2012-04-23
1050,2012-04-23
1051,2012-04-23
1052,2012-04-23
1053,2012-04-23
1054,2012-04-23
1055,2012-04-23
1056,2012-04-23
1057,2012-04-23
1058,2012-04-23
1059,2012-04-23
1060,2012-04-23
1061,2012-04-23
1062,2012-04-23
1063,2012-04-23
1064,2012-04-23
1065,2012-04-23
1066,2012-04-23
1067,2012-04-23
1068,2012-04-23
1069,2012-04-23
1070,2012-04-23
1071,2012-04-23
1072,2012-04-23
1073,2012-04-23
1074,2012-04-23
1075,2012-04-23
1076,2012-04-23
1077,2012-04-23
1078,2012-04-23
1079,2012-04-23
1080,2012-04-23
1081,2012-04-23
1082,2012-04-23
1083,2012-04-23
1084,2012-04-23
1085,2012-04-23
1086,2012-04-23
1087,2012-04-23
1088,2012-04-23
1089,2012-04-23
1090,2012-04-23
1091,2012-04-23
1092,2012-04-23
1093,2012-04-23
1094,2012-04-27
1095,2012-04-27
1096,2012-04-27
1097,2012-04-27
1098,2012-04-27
1099,2012-04-27
1100,2012-04-27
1101,2012-04-27
1102,2012-04-27
1103,2012-04-27
1104,2012-04-27
1105,2012-04-27
1106,2012-04-27
1107,2012-04-27
1108,2012-04-27
1109,2012-04-27
1110,2012-04-27
1111,2012-04-27
1112,2012-04-27
1113,2012-04-27
1114,2012-04-27
1115,2012-04-27
1116,2012-04-27
1117,2012-04-27
1118,2012-04-27
1119,2012-04-27
1120,2012-04-27
1121,2012-04-27
1122,2012-04-27
1123,2012-04-27
1124,2012-04-27
1125,2012-04-27
1126,2012-04-27
1127,2012-04-27
1128,2012-04-24
1129,2012-04-24
1130,2012-04-24
1131,2012-04-24
1132,2012-04-24
1133,2012-04-24
1134,2012-04-24
1135,2012-04-24
1136,2012-04-24
1137,2012-04-24
1138,2012-04-24
1139,2012-04-24
1140,2012-04-24
1141,2012-04-24
1142,2012-04-24
1143,2012-04-24
1144,2012-04-24
1145,2012-04-24
1146,2012-04-24
1147,2012-04-24
1148,2012-04-24
1149,2012-04-24
1150,2012-04-24
1151,2012-04-24
1152,2012-04-24
1153,2012-04-24
1154,2012-04-24
1155,2012-04-24
1156,2012-04-24
1157,2012-04-24
1158,2012-04-24
1159,2012-04-24
1160,2012-04-24
1161,2012-04-24
1162,2012-04-24
1163,2012-04-24
1164,2012-04-24
1165,2012-04-24
1166,2012-04-24
1167,2012-04-24
1168,2012-04-24
1169,2012-04-24
1170,2012-04-24
1171,2012-04-24
1172,2012-04-24
1173,2012-04-24
1174,2012-04-24
1175,2012-04-24
1176,2011-12-12
1177,2012-03-21
1178,2012-03-21
1179,2012-03-21
1180,2012-03-21
1181,2012-03-21
1182,2012-03-21
1183,2012-03-21
1184,2012-03-21
1185,2012-03-21
1186,2012-03-21
1187,2012-03-21
1188,2012-03-21
1189,2012-03-21
1190,2012-03-21
1191,2012-03-21
1192,2012-03-21
1193,2012-03-21
1194,2012-03-23
1195,2012-03-23
1196,2012-03-23
1197,2012-03-23
1198,2012-03-23
1199,2012-03-23
1200,2012-03-23
1201,2012-03-23
1202,2012-03-23
1203,2012-03-23
1204,2012-03-23
1205,2012-03-23
1206,2012-03-23
1207,2012-03-29
1208,2012-03-29
1209,2012-03-29
1210,2012-03-29
1211,2012-03-29
1212,2012-03-29
1213,2012-03-29
1214,2012-03-29
1215,2012-03-29
1216,2012-03-29
1217,2012-03-29
1218,2012-03-29
1219,2012-03-29
1220,2012-03-29
1221,2012-03-29
1222,2012-03-29
1223,2012-03-29
1224,2012-03-29
1225,2012-03-29
1226,2012-03-29
1227,2012-03-29
1228,2012-03-29
1229,2012-03-29
1230,2012-03-29
1231,2012-03-29
1232,2012-03-29
1233,2012-03-29
1234,2012-03-29
1235,2012-03-29
1236,2012-03-29
1237,2012-03-29
1238,2012-03-29
1239,2012-04-10
1240,2012-04-10
1241,2012-04-10
1242,2012-04-10
1243,2012-04-10
1244,2012-04-10
1245,2012-04-10
1246,2012-04-10
1247,2012-04-10
1248,2012-04-10
1249,2012-04-10
1250,2012-04-10
1251,2012-04-10
1252,2012-04-10
1253,2012-04-10
1254,2012-04-10
1255,2012-04-10
1256,2012-04-10
1257,2012-04-10
1258,2012-04-10
1259,2012-04-10
1260,2012-04-10
1261,2012-04-10
1262,2012-04-10
1263,2012-04-10
1264,2012-04-10
1265,2012-04-10
1266,2012-04-10
1267,2012-04-10
1268,2012-04-10
1269,2012-04-10
1270,2012-04-10
1271,2012-04-10
1272,2012-04-10
1273,2012-04-10
1274,2012-04-10
1275,2012-04-10
1276,2012-04-10
1277,2012-04-10
1278,2012-04-10
1279,2012-04-10
1280,2012-04-10
1281,2012-04-10
1282,2012-04-10
1283,2012-04-10
1284,2012-04-10
1285,2012-04-10
1286,2012-04-16
1287,2012-04-16
1288,2012-04-16
1289,2012-04-16
1290,2012-04-16
1291,2012-04-16
1292,2012-04-16
1293,2012-04-16
1294,2012-04-16
1295,2012-04-16
1296,2012-04-16
1297,2012-04-16
1298,2012-04-16
1299,2012-04-16
1300,2012-04-16
1301,2012-04-16
1302,2012-04-16
1303,2012-04-16
1304,2012-04-16
1305,2012-04-16
1306,2012-04-16
1307,2012-04-16
1308,2012-04-16
1309,2012-04-16
1310,2012-04-16
1311,2012-04-16
1312,2012-04-16
1313,2012-04-16
1314,2012-04-16
1315,2012-04-16
1316,2012-04-16
1317,2012-04-16
1318,2012-04-16
1319,2012-04-16
1320,2012-01-24
1321,2012-01-24
1322,2012-01-24
1323,2012-01-24
1324,2012-01-24
1325,2012-01-24
1326,2012-01-24
1327,2012-01-24
1328,2012-01-24
1329,2012-01-24
1330,2012-01-24
1331,2012-01-24
1332,2012-01-24
1333,2012-01-24
1334,2012-01-24
1335,2012-01-24
1336,2012-01-24
1337,2012-01-24
1338,2012-01-24
1339,2012-01-24
1340,2012-01-24
1341,2012-01-24
1342,2012-01-24
1343,2012-01-24
1344,2012-01-24
1345,2012-01-24
1346,2012-01-24
1347,2012-01-24
1348,2012-01-24
1349,2012-01-24
1350,2012-01-24
1351,2012-01-24
1352,2012-01-24
1353,2012-01-24
1354,2012-01-24
1355,2012-01-24
1356,2012-01-24
1357,2012-01-24
1358,2012-01-24
1359,2012-01-24
1360,2012-01-24
1361,2012-01-24
1362,2012-01-24
1363,2012-01-24
1364,2012-01-24
1365,2012-01-24
1366,2012-01-24
1367,2012-01-24
1368,2012-01-24
1369,2012-01-24
1370,2012-01-24
1371,2012-01-24
1372,2012-01-24
1373,2012-01-24
1374,2012-01-24
1375,2012-01-24
1376,2012-01-24
1377,2012-01-24
1378,2012-01-24
1379,2012-01-24
1380,2012-01-24
1381,2012-01-24
1382,2012-01-24
1383,2012-01-24
1384,2012-01-24
1385,2012-01-24
1386,2012-01-24
1387,2012-01-24
1388,2012-01-24
1389,2012-01-24
1390,2012-01-24
1391,2012-01-24
1392,2012-01-24
1393,2012-01-24
1394,2012-01-24
1395,2012-01-24
1396,2012-01-24
1397,2012-01-24
1398,2012-01-24
1399,2012-01-24
1400,2012-01-24
1401,2012-01-24
1402,2012-01-24
1403,2012-01-24
1404,2012-01-24
1405,2012-01-24
1406,2012-01-24
1407,2012-01-24
1408,2012-01-24
1409,2012-01-24
1410,2012-01-24
1411,2012-01-24
1412,2012-03-19
1413,2012-03-19
1414,2012-03-19
1415,2012-03-19
1416,2012-03-19
1417,2012-03-19
1418,2012-03-19
1419,2012-03-19
1420,2012-03-19
1421,2012-03-19
1422,2012-03-19
1423,2012-03-19
1424,2012-03-19
1425,2012-03-19
1426,2012-03-19
1427,2012-03-19
1428,2012-03-19
1429,2012-03-19
1430,2012-03-21
1431,2012-03-21
1432,2012-03-21
1433,2012-03-21
1434,2012-03-21
1435,2012-03-21
1436,2012-03-21
1437,2012-03-21
1438,2012-03-21
1439,2012-03-21
1440,2012-03-21
1441,2012-03-21
1442,2012-03-21
1443,2012-03-27
1444,2012-03-27
1445,2012-03-27
1446,2012-03-27
1447,2012-03-27
1448,2012-03-27
