ID,B
420,2011-01-24
421,2011-01-24
422,2011-01-24
423,2011-01-24
424,2011-01-24
425,2011-01-24
426,2011-01-24
427,2011-01-24
428,2011-01-24
429,2011-01-24
430,2011-01-24
431,2011-01-24
432,2011-01-24
433,2011-01-24
434,2011-01-24
435,2011-01-24
436,2011-01-24
437,2011-01-24
438,2011-01-24
439,2011-01-24
440,2011-01-24
441,2011-01-24
442,2011-01-24
443,2011-01-24
444,2011-01-24
445,2011-01-24
446,2011-01-24
447,2011-01-24
448,2011-01-24
449,2011-01-24
450,2011-01-24
451,2011-06-10
452,2011-06-10
453,2011-06-10
454,2011-06-10
455,2011-06-10
456,2011-06-10
457,2011-06-10
458,2011-06-10
459,2011-06-10
460,2011-06-10
461,2011-06-10
462,2011-06-10
463,2011-06-10
464,2011-06-10
465,2011-06-10
466,2011-06-10
467,2011-06-10
468,2011-06-10
469,2011-06-10
470,2011-06-10
471,2011-06-10
472,2011-06-10
473,2011-06-10
474,2011-06-10
475,2011-06-10
476,2011-06-10
477,2011-06-10
478,2011-06-10
479,2011-06-10
480,2011-06-10
481,2011-06-10
482,2011-06-10
483,2011-06-07
484,2011-06-07
485,2011-06-07
486,2011-06-07
487,2011-06-07
488,2011-06-07
489,2011-06-07
490,2011-06-07
491,2011-06-07
492,2011-06-07
493,2011-06-07
494,2011-06-07
495,2011-06-07
496,2011-06-07
497,2011-06-07
498,2011-06-07
499,2011-06-07
500,2011-06-07
501,2011-06-07
502,2011-06-07
503,2011-06-07
504,2011-06-07
505,2011-06-07
506,2011-06-07
507,2011-06-07
508,2011-06-07
509,2011-06-07
510,2011-06-07
511,2011-06-07
512,2011-06-07
513,2011-06-07
514,2011-06-07
515,2011-06-07
516,2011-06-07
517,2011-06-07
518,2011-06-07
519,2011-06-07
520,2011-06-07
521,2011-06-07
522,2011-06-07
523,2011-06-07
524,2011-06-07
525,2011-06-07
526,2011-06-07
527,2011-06-07
528,2011-06-07
529,2011-06-07
530,2011-01-24
531,2011-01-24
532,2011-01-24
533,2011-01-24
534,2011-01-24
535,2011-01-24
536,2011-01-24
537,2011-01-24
538,2011-01-24
539,2011-01-24
540,2011-01-24
541,2011-01-24
542,2011-01-24
543,2011-01-24
544,2011-01-24
545,2011-01-24
546,2011-01-24
547,2011-01-24
548,2011-01-24
549,2011-01-24
550,2011-01-24
551,2011-01-24
552,2011-01-24
553,2011-01-24
554,2011-01-24
555,2011-01-24
556,2011-01-24
557,2011-01-24
558,2011-01-24
559,2011-01-24
560,2011-01-24
561,2011-01-24
562,2011-01-24
563,2011-01-24
564,2011-07-19
565,2011-07-19
566,2011-07-19
567,2011-07-19
568,2011-07-19
569,2011-07-19
570,2011-07-19
571,2011-07-19
572,2011-07-19
573,2011-07-19
574,2011-07-19
575,2011-07-19
576,2011-07-19
577,2011-07-19
578,2011-07-19
579,2011-07-19
580,2011-07-19
581,2011-07-19
582,2011-07-19
583,2011-01-24
584,2011-01-24
585,2011-01-24
586,2011-01-24
587,2011-01-24
588,2011-01-24
589,2011-01-24
590,2011-01-24
591,2011-01-24
592,2011-01-24
593,2011-01-24
594,2011-01-24
595,2011-01-24
596,2011-01-24
597,2011-01-24
598,2011-01-24
599,2011-01-24
600,2011-01-24
601,2011-01-24
602,2011-01-24
603,2011-01-24
604,2011-01-24
605,2011-01-24
606,2011-01-24
607,2011-01-24
608,2011-01-24
609,2011-01-24
610,2011-01-24
611,2011-01-24
612,2011-01-24
613,2011-01-24
614,2011-01-24
615,2011-01-24
616,2011-01-24
617,2011-01-24
618,2011-01-24
619,2011-01-24
620,2011-01-24
621,2011-01-24
622,2011-01-24
623,2011-01-24
624,2011-01-24
625,2011-01-24
626,2011-01-24
627,2011-01-24
628,2011-08-18
629,2011-08-18
630,2011-08-18
631,2011-08-18
632,2011-08-18
633,2011-08-18
634,2011-08-18
635,2011-08-18
636,2011-08-18
637,2011-08-18
638,2011-08-18
639,2011-08-18
640,2011-08-18
641,2011-08-18
642,2011-08-18
643,2011-08-18
644,2011-08-18
645,2011-08-18
646,2011-08-18
647,2011-08-18
648,2011-08-18
649,2011-08-18
650,2011-08-18
651,2011-08-18
652,2011-08-18
653,2011-08-18
654,2011-08-18
655,2011-08-18
656,2011-08-18
657,2011-08-18
658,2011-08-18
659,2011-08-18
660,2011-08-18
661,2011-08-18
662,2011-08-18
663,2011-08-18
664,2011-08-18
665,2011-08-18
666,2011-08-18
667,2011-08-18
668,2011-08-18
669,2011-08-18
670,2011-08-18
671,2011-08-18
672,2011-08-18
673,2011-08-18
674,2011-08-18
675,2011-07-13
676,2011-07-13
677,2011-07-13
678,2011-07-13
679,2011-07-13
680,2011-07-13
681,2011-07-13
682,2011-07-13
683,2011-07-13
684,2011-07-13
685,2011-07-13
686,2011-07-13
687,2011-07-13
688,2011-07-13
689,2011-07-13
690,2011-07-13
691,2011-07-13
692,2011-07-13
693,2011-07-13
694,2011-07-13
695,2011-07-13
696,2011-07-13
697,2011-07-13
698,2011-07-13
699,2011-07-13
700,2011-07-13
701,2011-07-13
702,2011-07-13
703,2011-07-13
704,2011-07-13
705,2011-07-13
706,2011-07-13
707,2011-07-13
708,2011-07-13
709,2011-07-13
710,2011-01-24
711,2011-01-24
712,2011-01-24
713,2011-01-24
714,2011-01-24
715,2011-01-24
716,2011-01-24
717,2011-01-24
718,2011-01-24
719,2011-01-24
720,2011-01-24
721,2011-01-24
722,2011-01-24
723,2011-01-24
724,2011-01-24
725,2011-01-24
726,2011-01-24
727,2011-01-24
728,2011-01-24
729,2011-01-24
730,2011-01-24
731,2011-01-24
732,2011-01-24
733,2011-01-24
734,2011-01-24
735,2011-01-24
736,2011-01-24
737,2011-01-24
738,2011-01-24
739,2011-01-24
740,2011-01-24
741,2011-01-24
742,2011-01-24
743,2011-01-24
763,2011-03-09
764,2011-03-09
765,2011-03-09
766,2011-03-09
767,2011-03-09
768,2011-03-09
769,2011-03-09
770,2011-03-09
771,2011-03-09
772,2011-03-09
773,2011-03-09
774,2011-03-09
775,2011-03-09
776,2011-03-09
777,2011-03-09
778,2011-03-09
779,2011-03-09
780,2011-03-09
781,2011-03-09
782,2011-03-09
783,2011-03-09
784,2011-03-09
785,2011-03-09
786,2011-03-09
787,2011-03-09
788,2011-03-09
789,2011-03-09
