ID,B
389,24/01/2011
390,24/01/2011
391,24/01/2011
392,24/01/2011
393,24/01/2011
394,24/01/2011
395,24/01/2011
396,24/01/2011
397,24/01/2011
398,24/01/2011
399,24/01/2011
400,24/01/2011
401,24/01/2011
402,24/01/2011
403,24/01/2011
404,24/01/2011
405,24/01/2011
406,24/01/2011
407,24/01/2011
408,24/01/2011
409,24/01/2011
410,24/01/2011
411,24/01/2011
412,24/01/2011
413,24/01/2011
414,24/01/2011
415,24/01/2011
416,24/01/2011
417,24/01/2011
418,24/01/2011
419,24/01/2011
420,10/06/2011
421,10/06/2011
422,10/06/2011
423,10/06/2011
424,10/06/2011
425,10/06/2011
426,10/06/2011
427,10/06/2011
428,10/06/2011
429,10/06/2011
430,10/06/2011
431,10/06/2011
432,10/06/2011
433,10/06/2011
434,10/06/2011
435,10/06/2011
436,10/06/2011
437,10/06/2011
438,10/06/2011
439,10/06/2011
440,10/06/2011
441,10/06/2011
442,10/06/2011
443,10/06/2011
444,10/06/2011
445,10/06/2011
446,10/06/2011
447,10/06/2011
448,10/06/2011
449,10/06/2011
450,10/06/2011
451,10/06/2011
452,07/06/2011
453,07/06/2011
454,07/06/2011
455,07/06/2011
456,07/06/2011
457,07/06/2011
458,07/06/2011
459,07/06/2011
460,07/06/2011
461,07/06/2011
462,07/06/2011
463,07/06/2011
464,07/06/2011
465,07/06/2011
466,07/06/2011
467,07/06/2011
468,07/06/2011
469,07/06/2011
470,07/06/2011
471,07/06/2011
472,07/06/2011
473,07/06/2011
474,07/06/2011
475,07/06/2011
476,07/06/2011
477,07/06/2011
478,07/06/2011
479,07/06/2011
480,07/06/2011
481,07/06/2011
482,07/06/2011
483,07/06/2011
484,07/06/2011
485,07/06/2011
486,07/06/2011
487,07/06/2011
488,07/06/2011
489,07/06/2011
490,07/06/2011
491,07/06/2011
492,07/06/2011
493,07/06/2011
494,07/06/2011
495,07/06/2011
496,07/06/2011
497,07/06/2011
498,07/06/2011
499,24/01/2011
500,24/01/2011
501,24/01/2011
502,24/01/2011
503,24/01/2011
504,24/01/2011
505,24/01/2011
506,24/01/2011
507,24/01/2011
508,24/01/2011
509,24/01/2011
510,24/01/2011
511,24/01/2011
512,24/01/2011
513,24/01/2011
514,24/01/2011
515,24/01/2011
516,24/01/2011
517,24/01/2011
518,24/01/2011
519,24/01/2011
520,24/01/2011
521,24/01/2011
522,24/01/2011
523,24/01/2011
524,24/01/2011
525,24/01/2011
526,24/01/2011
527,24/01/2011
528,24/01/2011
529,24/01/2011
530,24/01/2011
531,24/01/2011
532,24/01/2011
533,19/07/2011
534,19/07/2011
535,19/07/2011
536,19/07/2011
537,19/07/2011
538,19/07/2011
539,19/07/2011
540,19/07/2011
541,19/07/2011
