ID,AB1_Actual
41,01/02/2011
42,01/02/2011
43,01/02/2011
44,01/02/2011
45,01/02/2011
46,01/02/2011
47,01/02/2011
48,01/02/2011
49,01/02/2011
50,01/02/2011
51,01/02/2011
52,01/02/2011
53,01/02/2011
54,01/02/2011
55,01/02/2011
56,24/01/2011
57,24/01/2011
58,24/01/2011
59,24/01/2011
60,24/01/2011
61,24/01/2011
62,24/01/2011
63,24/01/2011
64,24/01/2011
65,24/01/2011
66,24/01/2011
67,24/01/2011
68,24/01/2011
69,24/01/2011
70,24/01/2011
71,10/01/2011
72,10/01/2011
73,10/01/2011
74,10/01/2011
75,10/01/2011
76,10/01/2011
77,10/01/2011
78,10/01/2011
79,10/01/2011
80,10/01/2011
81,10/01/2011
82,10/01/2011
83,10/01/2011
84,10/01/2011
85,10/01/2011
86,24/01/2011
87,24/01/2011
88,24/01/2011
89,24/01/2011
90,24/01/2011
91,24/01/2011
92,24/01/2011
93,24/01/2011
94,24/01/2011
95,24/01/2011
96,24/01/2011
97,24/01/2011
98,24/01/2011
99,24/01/2011
100,24/01/2011
101,01/02/2011
102,01/02/2011
103,01/02/2011
104,01/02/2011
105,01/02/2011
106,01/02/2011
107,01/02/2011
108,01/02/2011
109,01/02/2011
110,01/02/2011
111,01/02/2011
112,01/02/2011
113,01/02/2011
114,01/02/2011
115,01/02/2011
116,01/02/2011
117,01/02/2011
118,01/02/2011
119,01/02/2011
120,01/02/2011
121,01/02/2011
122,01/02/2011
123,01/02/2011
124,01/02/2011
125,01/02/2011
126,01/02/2011
127,01/02/2011
128,01/02/2011
129,01/02/2011
130,01/02/2011
131,01/02/2011
132,02/08/2010
133,02/08/2010
134,02/08/2010
135,02/08/2010
136,02/08/2010
137,02/08/2010
138,02/08/2010
139,02/08/2010
140,02/08/2010
141,02/08/2010
142,02/08/2010
143,02/08/2010
144,02/08/2010
145,02/08/2010
146,24/01/2011
147,24/01/2011
148,24/01/2011
149,24/01/2011
150,24/01/2011
151,24/01/2011
152,24/01/2011
153,24/01/2011
154,24/01/2011
155,24/01/2011
156,24/01/2011
157,24/01/2011
158,24/01/2011
159,24/01/2011
160,24/01/2011
161,24/01/2011
162,24/01/2011
163,24/01/2011
164,24/01/2011
165,24/01/2011
166,24/01/2011
167,24/01/2011
168,24/01/2011
169,24/01/2011
170,24/01/2011
171,24/01/2011
172,24/01/2011
173,24/01/2011
174,24/01/2011
175,24/01/2011
176,04/04/2011
177,04/04/2011
178,04/04/2011
179,04/04/2011
180,04/04/2011
181,04/04/2011
182,04/04/2011
183,01/03/2011
184,01/03/2011
185,01/03/2011
186,01/03/2011
187,01/03/2011
188,01/03/2011
189,01/03/2011
190,01/03/2011
191,01/03/2011
192,01/03/2011
193,01/03/2011
194,01/03/2011
195,01/03/2011
196,01/03/2011
