number,title,tag1,tag2,tag3,tag4
PD0285/BD/02/01,General Arrangement,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/02,Setting Out,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/03,Abutment Dimensions,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/04,Abutment Reinforcement Sheet 1,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/05,Abutment Reinforcement Sheet 2,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/06,Pier Dimensions,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/07,Pier Reinforcement,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/08,Deck Dimensions,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/09,Deck Reinforcement Sheet 1,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/10,Deck Reinforcement Sheet 2,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/11,Steelwork Sheet 1,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/12,Steelwork Sheet 2,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/13,Steelwork Sheet 3,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/14,Bearing Schedule & Misc. Details,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/02/15,Bearing Schedule,STR,Drawing,Roehoe Junction Overbridge,
PD0285/BD/05/01,General Arrangement,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/02,Setting Out,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/03,Abutment Dimensions,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/04,Abutment Reinforcement Sheet 1,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/05,Abutment Reinforcement Sheet 2,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/06,Pier Dimensions,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/07,Pier Reinforcement,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/08,Deck Dimensions,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/09,Deck Reinforcement Sheet 1,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/10,Deck Reinforcement Sheet 2,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/11,Steelwork Sheet 1,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/12,Steelwork Sheet 2,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/13,Steelwork Sheet 3,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/14,Bearing Schedule & Misc. Details,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/05/15,Bearing Schedule,STR,Drawing,Owthorpe Junction Overbridge,
PD0285/BD/06/01,General Arrangement,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/02,Setting Out,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/03,Bankseat Dimensions,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/04,Banseat Reinvforcement,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/05,Pier Dimensions,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/06,Pier Reinforcement,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/07,Deck Dimensions,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/08,Deck Reinforcement Sheet 1,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/09,Deck Reinforcement Sheet 2,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/10,Steelwork Sheet 1,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/11,Steelwork Sheet 2,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/12,Steelwork Sheet 3,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/13,Steelwork Sheet 5,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/14,Misc. Details,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/06/15,Bearing Schedule,STR,Drawing,Cotgrave Overbridge,
PD0285/BD/07/01,General Arrangement,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/02,Setting Out,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/04,Abutment Dimensions,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/05,Wingwall Dimensions,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/06,Abutment Reinforcement Sheet 1,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/07,Abutment Reinforcement Sheet 2,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/08,Wingwall Reinforcement Sheet 1,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/09,Wingwall Reinforcement Sheet 2,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/10,Wingwall Reinforcement Sheet 3,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/11,Wingwall Reinforcement Sheet 4,STR,Drawing,Stragglethorpe Junction Underbridge,
PD0285/BD/07/12,Deck Dimensions,STR,Drawing,Stragglethorpe Junction Underbridge,
